Population,Field_Year,Generation,Block,Location,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Bodega Bay,2022,G1,1,55,147,NA,BB_142,BB_086,1,0,0,0,NA,0,0,6.66,26.884,475.392,26.687,3/26/22,3/26/22,0
Bodega Bay,2022,G1,2,56,148,NA,BB_217,BB_016,4,0,0,0,NA,0,0,4.51,20.453,223.249,52.126,4/2/22,4/8/22,6
Bodega Bay,2022,G1,2,57,151,NA,BB_015,BB_111,1,0,0,0,NA,0,0,10.37,NA,NA,84.276,3/26/22,3/26/22,0
Bodega Bay,2022,G1,2,57,152,NA,BB_130,BB_120,3,1,1,0,NA,0,0,NA,22.493,323.665,60.561,3/26/22,5/12/22,47
Bodega Bay,2022,G1,2,57,153,NA,BB_073,BB_092,7,0,2,0,NA,0,0,21.27,NA,NA,NA,3/3/22,4/8/22,36
Bodega Bay,2022,G1,2,58,154,NA,BB_171,BB_127,5,0,0,0,NA,0,0,NA,21.755,282.815,NA,3/26/22,4/2/22,7
Bodega Bay,2022,G1,2,58,155,NA,BB_026,BB_153,3,1,1,0,NA,0,0,15.68,NA,NA,NA,3/11/22,4/29/22,49
Bodega Bay,2022,G1,2,58,156,NA,BB_175,BB_050,6,0,0,0,NA,0,0,NA,NA,NA,108.616,NA,NA,NA
Bodega Bay,2022,G1,2,59,157,NA,BB_065,BB_133,8,2,2,4,NA,2,4,NA,NA,NA,15.684,4/2/22,4/8/22,6
Bodega Bay,2022,G1,2,59,158,NA,BB_051,BB_143,2,0,0,0,NA,0,0,NA,19.28,235.445,NA,3/17/22,3/26/22,9
Bodega Bay,2022,G1,2,59,159,NA,BB_011,BB_056,1,0,0,0,NA,0,0,NA,22.07,309.925,NA,3/26/22,4/2/22,7
Bodega Bay,2022,G1,2,61,161,NA,BB_023,BB_078,8,0,0,0,NA,0,0,4.05,NA,NA,NA,NA,NA,NA
Bodega Bay,2022,G1,2,61,162,NA,BB_213,BB_147,6,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Bodega Bay,2022,G1,2,62,163,NA,BB_194,BB_214,8,1,1,3,7.47,3,3,19.31,22.43,294.338,NA,3/17/22,4/8/22,22
Bodega Bay,2022,G1,2,62,164,NA,BB_099,BB_061,1,1,1,2,4.67,2,2,23.2,12.42,100.686,NA,3/11/22,3/26/22,15
Bodega Bay,2022,G1,2,63,166,NA,BB_167,BB_114,6,0,0,0,NA,0,0,NA,NA,NA,NA,4/23/22,4/23/22,0
Bodega Bay,2022,G1,2,63,167,NA,BB_028,BB_083,6,0,0,0,NA,0,0,NA,NA,NA,NA,4/2/22,4/23/22,21
Bodega Bay,2022,G1,2,63,168,NA,BB_188,BB_171,1,0,0,0,NA,0,0,8.59,NA,NA,NA,3/26/22,3/26/22,0
Bodega Bay,2022,G1,2,64,170,NA,BB_125,BB_051,3,2,2,1,NA,0.5,1,38.83,NA,NA,NA,3/11/22,4/2/22,22
Bodega Bay,2022,G1,2,65,173,NA,BB_066,BB_052,4,0,0,0,NA,0,0,9.13,18.335,179.375,NA,3/26/22,4/8/22,13
Bodega Bay,2022,G1,2,65,174,NA,BB_142,BB_150,8,1,1,2,2.64,2,2,NA,NA,NA,NA,4/2/22,4/2/22,0
Bodega Bay,2022,G1,2,67,178,NA,BB_075,BB_164,2,1,1,0,NA,0,0,29.15,19.749,234.155,NA,4/8/22,4/29/22,21
Bodega Bay,2022,G1,2,68,181,NA,BB_015,BB_218,7,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Bodega Bay,2022,G1,2,69,183,NA,BB_168,BB_081,1,0,0,0,NA,0,0,NA,NA,NA,NA,3/3/22,4/9/22,37
Bodega Bay,2022,G1,2,69,185,NA,BB_197,BB_199,8,2,2,0,NA,0,0,37.01,21.426,278.078,19.817,4/23/22,5/12/22,19
Bodega Bay,2022,G1,2,71,186,NA,BB_057,BB_146,2,1,1,1,6.84,1,1,NA,NA,NA,NA,4/29/22,4/29/22,0
Bodega Bay,2022,G1,2,71,187,NA,BB_215,BB_210,1,1,1,3,1.093333333,3,3,NA,19.784,NA,NA,3/26/22,4/9/22,14
Bodega Bay,2022,G1,2,71,188,NA,BB_167,BB_008,8,0,0,0,NA,0,0,NA,25.906,404.377,NA,4/23/22,4/29/22,6
Bodega Bay,2022,G1,2,72,189,NA,BB_055,BB_119,6,1,1,0,NA,0,0,NA,23.766,386.77,NA,3/26/22,4/2/22,7
Bodega Bay,2022,G1,2,72,190,NA,BB_174,BB_068,1,0,0,0,NA,0,0,NA,13.32,NA,12.474,3/26/22,3/26/22,0
Bodega Bay,2022,G1,2,72,191,NA,BB_005,BB_195,7,0,0,0,NA,0,0,NA,NA,NA,NA,3/11/22,4/9/22,29
